"","lon","lat"
"1544",120.211487,15.10925
"1545",122.117043,10.883208
"1546",122.072411,11.420129
"1547",123.797836,8.466939
"1548",123.847389,8.151681
"1549",123.742332,8.066708
"1550",124.716053,9.248176
"1551",121.054913,14.754175
"1552",124.650693,8.504631
"1553",124.69059,9.128538
"1554",125.097141,8.180567
"1555",124.981728,8.049032
"1556",124.353847,8.559294
"1557",124.87587,8.36641
"1558",120.67028,15.779039
"1560",124.720688,7.497281
"1561",125.088158,7.01912
"1562",124.934921,7.084539
"1563",124.53392,7.192188
"1564",124.880791,6.945512
"1565",125.05,7.033333
"1566",124.422433,7.279422
"1567",124.886284,6.833716
"1568",122.531862,10.715093
"1569",124.80526,6.386271
"1570",124.708872,6.225204
"1571",124.663868,6.518978
"1572",125.066185,6.212234
"1573",124.680004,6.437789
"1574",124.734535,6.358975
"1575",125.064812,6.47975
"1576",124.759254,6.568435
"1577",124.974861,6.341232
"1578",124.784718,8.743936
"1579",124.915695,8.62583
"1580",124.516869,8.526022
"1581",125.098457,8.825367
"1582",124.791584,8.799922
"1583",125.0037,8.907458
"1584",124.562759,8.514477
"1585",122.203581,7.070144
"1586",124.852524,6.489983
"1587",125.044899,6.952328
"1589",122.070973,6.931624
"1592",120.992707,14.637362
"1593",121.949387,10.512117
"1595",122.8357,10.5364
"1597",123.985221,10.27429
"1598",124.7909,8.5309
